,Length_Title,Length_Plot_Synopsis,count_plot_synopsis_http,count_plot_synopsis_href,count_plot_synopsis_grtsign
0,1,3657,0,0,0
1,7,2057,0,0,0
2,3,4193,0,0,0
3,11,3754,0,0,0
4,16,10420,0,0,0
5,7,8142,0,0,0
6,21,3181,0,0,0
7,55,4402,0,0,0
8,27,1528,0,0,0
9,22,1675,0,0,0
10,47,7434,0,0,0
11,18,2497,0,0,0
12,20,9234,0,0,0
13,16,3742,0,0,0
14,9,1619,0,0,0
15,23,5709,0,0,0
16,20,1928,0,0,0
17,36,9277,0,0,0
18,23,5070,0,0,0
19,26,1193,0,0,0
20,15,2404,0,0,0
21,12,2272,0,0,0
22,4,4043,0,0,0
23,1,4506,0,0,0
24,2,4292,0,0,0
25,19,7241,0,0,0
26,8,4172,0,0,0
27,19,4030,0,0,0
28,26,5149,0,0,0
29,14,1957,0,0,0
30,9,4590,0,0,0
31,16,3312,0,0,0
32,8,4778,0,0,0
33,14,3905,0,0,0
34,26,3905,0,0,0
35,13,5234,0,0,0
36,11,1237,0,0,0
37,8,5216,0,0,0
38,8,5216,0,0,0
39,5,8013,0,0,0
40,12,5137,0,0,0
41,12,10014,0,0,0
42,10,3592,0,0,0
43,9,3844,0,0,0
44,9,21644,0,0,0
45,21,4854,0,0,0
46,16,14271,0,0,0
47,14,3077,0,0,0
48,9,2000,0,0,0
49,5,1709,0,0,0
50,9,11654,0,0,0
51,14,4628,0,0,0
52,8,5403,0,0,0
53,6,7569,0,0,0
54,16,2942,0,0,0
55,10,1440,0,0,0
56,10,2310,0,0,0
57,4,1464,0,0,0
58,14,2833,0,0,0
59,4,32972,0,0,0
60,26,4659,0,0,0
61,10,5582,0,0,0
62,9,4227,0,0,0
63,19,1354,0,0,0
64,8,10627,0,0,0
65,8,2812,0,0,0
66,4,14358,0,0,0
67,18,2614,0,0,0
68,13,4041,0,0,0
69,20,2607,0,0,0
70,16,4063,0,0,0
71,6,4287,0,0,0
72,15,6056,0,0,0
73,8,3257,0,0,0
74,21,5234,0,0,0
75,28,1759,0,0,0
76,28,5401,0,0,0
77,25,2502,0,0,0
78,14,2023,0,0,0
79,21,10456,0,0,0
80,4,4497,0,0,0
81,15,3804,0,0,0
82,4,5918,0,0,0
83,4,12967,0,0,0
84,2,6364,0,0,0
85,9,21981,0,0,0
86,8,4172,0,0,0
87,14,4881,0,0,0
88,14,3819,0,0,0
89,2,1305,0,0,0
90,2,3788,0,0,0
91,2,16111,0,0,0
92,20,2033,0,0,0
93,9,18054,0,0,0
94,10,25629,0,0,0
95,16,3838,0,0,0
96,14,5553,0,0,0
97,6,1403,0,0,0
98,14,11972,0,0,0
99,12,2433,0,0,0
100,8,7814,0,0,0
101,16,5221,0,0,0
102,9,1376,0,0,0
103,8,5178,0,0,0
104,19,2148,0,0,0
105,9,2460,0,0,0
106,7,2777,0,0,0
107,10,2129,0,0,0
108,18,1392,0,0,0
109,23,2534,0,0,0
110,13,1814,0,0,0
111,8,3533,0,0,0
112,16,5426,0,0,0
113,30,2616,0,0,0
114,27,4484,0,0,0
115,18,25680,0,0,0
116,28,2211,0,0,0
117,3,6982,0,0,0
118,23,8661,0,0,0
119,22,13959,0,0,0
120,2,2059,0,0,0
121,13,6114,0,0,0
122,8,5530,0,0,0
123,20,4744,0,0,0
124,3,8404,0,0,0
125,13,3296,0,0,0
126,18,3744,0,0,0
127,12,15783,0,0,0
128,12,3481,0,0,0
129,4,7588,0,0,0
130,16,2771,0,0,0
131,29,3593,0,0,0
132,26,11413,0,0,0
133,27,1239,0,0,0
134,8,4845,0,0,0
135,9,1061,0,0,0
136,21,2261,0,0,0
137,22,2528,0,0,0
138,2,3448,0,0,0
139,41,3378,0,0,0
140,8,5221,0,0,0
141,45,2954,0,0,0
142,7,5330,0,0,0
